Forecasted Day-ahead Total Load,Actual Total Load,datetime
15450,14910.838,2022-01-01 01:00:00
14750,14438.25,2022-01-01 02:00:00
14100,13934.85,2022-01-01 03:00:00
13700,13579.013,2022-01-01 04:00:00
13450,13396.763,2022-01-01 05:00:00
13500,13364.275,2022-01-01 06:00:00
13650,13449.125,2022-01-01 07:00:00
13600,13444.275,2022-01-01 08:00:00
13800,13527.463,2022-01-01 09:00:00
14450,14202.3,2022-01-01 10:00:00
15150,14851.475,2022-01-01 11:00:00
15600,15642.663,2022-01-01 12:00:00
16150,16235.188,2022-01-01 13:00:00
16450,16711.688,2022-01-01 14:00:00
16500,16873.763,2022-01-01 15:00:00
16850,17032.338,2022-01-01 16:00:00
17750,17715.213,2022-01-01 17:00:00
17850,17886.913,2022-01-01 18:00:00
17800,17929.075,2022-01-01 19:00:00
17900,17898.4,2022-01-01 20:00:00
17700,17593.863,2022-01-01 21:00:00
17000,16971.963,2022-01-01 22:00:00
16350,16426.2,2022-01-01 23:00:00
15450,15410.875,2022-01-01 00:00:00
14150,14479.513,2022-01-02 01:00:00
13550,13833.25,2022-01-02 02:00:00
13300,13451.213,2022-01-02 03:00:00
13250,13267.475,2022-01-02 04:00:00
13500,13325.888,2022-01-02 05:00:00
14050,13713.75,2022-01-02 06:00:00
14800,14229.825,2022-01-02 07:00:00
14850,14542.475,2022-01-02 08:00:00
15950,14959.55,2022-01-02 09:00:00
16950,15855.05,2022-01-02 10:00:00
17600,16708.588,2022-01-02 11:00:00
17950,17032.088,2022-01-02 12:00:00
18150,17414.238,2022-01-02 13:00:00
18350,18006.325,2022-01-02 14:00:00
18050,17914.125,2022-01-02 15:00:00
18450,18023.975,2022-01-02 16:00:00
19500,18626.888,2022-01-02 17:00:00
19500,18737.35,2022-01-02 18:00:00
19550,18752.55,2022-01-02 19:00:00
19550,18773.65,2022-01-02 20:00:00
19250,18377.638,2022-01-02 21:00:00
18500,17527.2,2022-01-02 22:00:00
17800,16897.313,2022-01-02 23:00:00
16800,15711.225,2022-01-02 00:00:00
15500,14917.713,2022-01-03 01:00:00
14800,14445.8,2022-01-03 02:00:00
14500,14222.638,2022-01-03 03:00:00
14650,14320.25,2022-01-03 04:00:00
15350,14814.363,2022-01-03 05:00:00
17350,15727.125,2022-01-03 06:00:00
20500,18749.4,2022-01-03 07:00:00
21800,20920.8,2022-01-03 08:00:00
23100,22134.988,2022-01-03 09:00:00
23400,22928.875,2022-01-03 10:00:00
23900,22934.625,2022-01-03 11:00:00
23900,23365.988,2022-01-03 12:00:00
24100,23608.288,2022-01-03 13:00:00
24300,23666.363,2022-01-03 14:00:00
23700,23373.788,2022-01-03 15:00:00
23850,23416.663,2022-01-03 16:00:00
24350,23971.475,2022-01-03 17:00:00
24250,23882.45,2022-01-03 18:00:00
23700,23557.638,2022-01-03 19:00:00
23500,23339.825,2022-01-03 20:00:00
23100,22852.413,2022-01-03 21:00:00
21950,21305.9,2022-01-03 22:00:00
20250,19825.138,2022-01-03 23:00:00
18900,18509.188,2022-01-03 00:00:00
17800,17594.0,2022-01-04 01:00:00
17100,16879.763,2022-01-04 02:00:00
16750,16612.075,2022-01-04 03:00:00
16800,16602.888,2022-01-04 04:00:00
17400,16936.013,2022-01-04 05:00:00
18800,17762.775,2022-01-04 06:00:00
21400,20157.963,2022-01-04 07:00:00
22500,22050.563,2022-01-04 08:00:00
23700,23022.825,2022-01-04 09:00:00
24100,23453.55,2022-01-04 10:00:00
24500,23659.55,2022-01-04 11:00:00
24600,24118.15,2022-01-04 12:00:00
24650,24361.338,2022-01-04 13:00:00
24800,24275.963,2022-01-04 14:00:00
24300,24024.088,2022-01-04 15:00:00
24250,23958.55,2022-01-04 16:00:00
24650,24401.813,2022-01-04 17:00:00
24550,24328.075,2022-01-04 18:00:00
24100,23992.475,2022-01-04 19:00:00
23900,23735.775,2022-01-04 20:00:00
23350,23111.925,2022-01-04 21:00:00
22250,21669.325,2022-01-04 22:00:00
20600,20228.688,2022-01-04 23:00:00
19250,18802.188,2022-01-04 00:00:00
17800,17752.388,2022-01-05 01:00:00
17150,17162.55,2022-01-05 02:00:00
16700,16786.863,2022-01-05 03:00:00
16900,16803.3,2022-01-05 04:00:00
17350,17165.55,2022-01-05 05:00:00
18800,17873.775,2022-01-05 06:00:00
21650,20242.513,2022-01-05 07:00:00
22600,22207.438,2022-01-05 08:00:00
23850,23028.438,2022-01-05 09:00:00
24000,23534.675,2022-01-05 10:00:00
24350,23727.425,2022-01-05 11:00:00
24400,24107.313,2022-01-05 12:00:00
24650,24197.475,2022-01-05 13:00:00
24750,24214.813,2022-01-05 14:00:00
24400,23969.363,2022-01-05 15:00:00
24450,23815.588,2022-01-05 16:00:00
24800,24337.563,2022-01-05 17:00:00
24800,24205.3,2022-01-05 18:00:00
24450,23696.675,2022-01-05 19:00:00
24300,23424.95,2022-01-05 20:00:00
23900,22866.225,2022-01-05 21:00:00
22550,21539.875,2022-01-05 22:00:00
20800,20089.138,2022-01-05 23:00:00
19600,18792.288,2022-01-05 00:00:00
18050,17749.538,2022-01-06 01:00:00
17100,16976.738,2022-01-06 02:00:00
16500,16561.275,2022-01-06 03:00:00
16200,16398.65,2022-01-06 04:00:00
16150,16401.45,2022-01-06 05:00:00
16100,16213.45,2022-01-06 06:00:00
16432,16250.213,2022-01-06 07:00:00
16650,16589.663,2022-01-06 08:00:00
17950,17087.25,2022-01-06 09:00:00
18900,18075.9,2022-01-06 10:00:00
19550,18798.538,2022-01-06 11:00:00
19900,19315.1,2022-01-06 12:00:00
20100,19657.838,2022-01-06 13:00:00
20150,19860.325,2022-01-06 14:00:00
19800,19875.138,2022-01-06 15:00:00
20150,19752.925,2022-01-06 16:00:00
21100,20401.75,2022-01-06 17:00:00
21100,20552.338,2022-01-06 18:00:00
21100,20465.363,2022-01-06 19:00:00
21000,20485.375,2022-01-06 20:00:00
20750,20225.538,2022-01-06 21:00:00
20050,19556.25,2022-01-06 22:00:00
19250,18883.9,2022-01-06 23:00:00
18300,17761.363,2022-01-06 00:00:00
16393,16997.313,2022-01-07 01:00:00
16191,16432.713,2022-01-07 02:00:00
16174,16185.575,2022-01-07 03:00:00
16118,16161.138,2022-01-07 04:00:00
16386,16425.0,2022-01-07 05:00:00
17365,17181.988,2022-01-07 06:00:00
19762,18906.0,2022-01-07 07:00:00
20563,20101.438,2022-01-07 08:00:00
21550,20909.463,2022-01-07 09:00:00
22049,21505.038,2022-01-07 10:00:00
22215,21345.625,2022-01-07 11:00:00
21989,21263.563,2022-01-07 12:00:00
21668,21227.675,2022-01-07 13:00:00
21825,21884.738,2022-01-07 14:00:00
22402,22107.313,2022-01-07 15:00:00
22410,22318.525,2022-01-07 16:00:00
23162,22930.2,2022-01-07 17:00:00
22984,23000.375,2022-01-07 18:00:00
22579,22791.775,2022-01-07 19:00:00
22317,22451.2,2022-01-07 20:00:00
22620,22021.688,2022-01-07 21:00:00
21279,20822.3,2022-01-07 22:00:00
20142,19960.25,2022-01-07 23:00:00
18792,18816.363,2022-01-07 00:00:00
18400,17742.663,2022-01-08 01:00:00
17650,17242.863,2022-01-08 02:00:00
17250,16879.1,2022-01-08 03:00:00
17150,16791.5,2022-01-08 04:00:00
17250,16859.625,2022-01-08 05:00:00
17650,17339.75,2022-01-08 06:00:00
18900,18151.3,2022-01-08 07:00:00
19550,18785.1,2022-01-08 08:00:00
20800,19579.2,2022-01-08 09:00:00
21700,20444.063,2022-01-08 10:00:00
22150,21138.075,2022-01-08 11:00:00
22250,21372.75,2022-01-08 12:00:00
22200,21506.763,2022-01-08 13:00:00
22150,21675.713,2022-01-08 14:00:00
21500,21486.488,2022-01-08 15:00:00
21800,21475.788,2022-01-08 16:00:00
22550,22045.463,2022-01-08 17:00:00
22550,22051.3,2022-01-08 18:00:00
22250,21857.013,2022-01-08 19:00:00
22000,21552.438,2022-01-08 20:00:00
21500,21135.525,2022-01-08 21:00:00
20450,20230.063,2022-01-08 22:00:00
19400,19224.25,2022-01-08 23:00:00
18150,18045.713,2022-01-08 00:00:00
17150,17077.663,2022-01-09 01:00:00
16450,16344.488,2022-01-09 02:00:00
16050,15912.913,2022-01-09 03:00:00
15750,15681.063,2022-01-09 04:00:00
15750,15813.363,2022-01-09 05:00:00
15950,16036.638,2022-01-09 06:00:00
16700,16484.3,2022-01-09 07:00:00
16900,16835.425,2022-01-09 08:00:00
18100,17299.488,2022-01-09 09:00:00
19100,17983.45,2022-01-09 10:00:00
19550,18426.813,2022-01-09 11:00:00
19650,18351.738,2022-01-09 12:00:00
19850,18560.663,2022-01-09 13:00:00
20050,19110.688,2022-01-09 14:00:00
19650,19472.2,2022-01-09 15:00:00
19850,19621.313,2022-01-09 16:00:00
21050,20519.413,2022-01-09 17:00:00
21100,20862.875,2022-01-09 18:00:00
21100,20844.813,2022-01-09 19:00:00
21100,20951.913,2022-01-09 20:00:00
20850,20552.363,2022-01-09 21:00:00
20150,19667.825,2022-01-09 22:00:00
19300,18919.088,2022-01-09 23:00:00
18250,17734.013,2022-01-09 00:00:00
17050,17083.9,2022-01-10 01:00:00
16400,16764.463,2022-01-10 02:00:00
16200,16569.05,2022-01-10 03:00:00
16350,16596.938,2022-01-10 04:00:00
17050,17013.525,2022-01-10 05:00:00
18900,18254.875,2022-01-10 06:00:00
22250,21426.013,2022-01-10 07:00:00
23650,23775.1,2022-01-10 08:00:00
24600,24862.963,2022-01-10 09:00:00
24850,25265.375,2022-01-10 10:00:00
25000,25115.9,2022-01-10 11:00:00
25050,25330.975,2022-01-10 12:00:00
25100,25350.875,2022-01-10 13:00:00
25300,25601.825,2022-01-10 14:00:00
24700,25658.438,2022-01-10 15:00:00
24850,25607.663,2022-01-10 16:00:00
25600,26060.663,2022-01-10 17:00:00
25600,26077.838,2022-01-10 18:00:00
25200,25775.925,2022-01-10 19:00:00
25050,25572.775,2022-01-10 20:00:00
24650,25000.95,2022-01-10 21:00:00
23600,23569.6,2022-01-10 22:00:00
21850,22124.825,2022-01-10 23:00:00
20550,20728.475,2022-01-10 00:00:00
19400,19611.75,2022-01-11 01:00:00
18700,19217.95,2022-01-11 02:00:00
18400,19021.9,2022-01-11 03:00:00
18400,18956.225,2022-01-11 04:00:00
19000,19357.05,2022-01-11 05:00:00
20500,20256.788,2022-01-11 06:00:00
23800,23058.125,2022-01-11 07:00:00
24650,25135.4,2022-01-11 08:00:00
25450,25808.55,2022-01-11 09:00:00
25500,26075.113,2022-01-11 10:00:00
25600,25762.788,2022-01-11 11:00:00
25600,25851.925,2022-01-11 12:00:00
25700,25869.713,2022-01-11 13:00:00
25850,25903.625,2022-01-11 14:00:00
25250,25717.275,2022-01-11 15:00:00
25300,25698.613,2022-01-11 16:00:00
26100,26333.913,2022-01-11 17:00:00
26100,26376.225,2022-01-11 18:00:00
25700,26035.275,2022-01-11 19:00:00
25650,25911.988,2022-01-11 20:00:00
25150,25398.425,2022-01-11 21:00:00
23900,23889.963,2022-01-11 22:00:00
22100,22446.15,2022-01-11 23:00:00
20850,21031.3,2022-01-11 00:00:00
19750,19947.588,2022-01-12 01:00:00
19100,19415.55,2022-01-12 02:00:00
18800,19110.5,2022-01-12 03:00:00
18850,19177.175,2022-01-12 04:00:00
19500,19436.663,2022-01-12 05:00:00
21000,20286.725,2022-01-12 06:00:00
24000,23115.313,2022-01-12 07:00:00
24950,25064.463,2022-01-12 08:00:00
25750,25790.3,2022-01-12 09:00:00
25800,26068.963,2022-01-12 10:00:00
26000,25847.425,2022-01-12 11:00:00
26000,25974.925,2022-01-12 12:00:00
26100,26041.738,2022-01-12 13:00:00
26250,26148.513,2022-01-12 14:00:00
25750,25997.938,2022-01-12 15:00:00
25600,25886.5,2022-01-12 16:00:00
26400,26379.45,2022-01-12 17:00:00
26400,26426.688,2022-01-12 18:00:00
26000,26034.138,2022-01-12 19:00:00
25950,25897.613,2022-01-12 20:00:00
25350,25190.513,2022-01-12 21:00:00
24100,23629.338,2022-01-12 22:00:00
22300,22070.163,2022-01-12 23:00:00
21050,20595.888,2022-01-12 00:00:00
19500,19522.4,2022-01-13 01:00:00
18800,18956.45,2022-01-13 02:00:00
18500,18504.65,2022-01-13 03:00:00
18500,18538.413,2022-01-13 04:00:00
18900,18834.475,2022-01-13 05:00:00
20400,19707.875,2022-01-13 06:00:00
23700,22367.225,2022-01-13 07:00:00
24550,24377.525,2022-01-13 08:00:00
25350,25144.013,2022-01-13 09:00:00
25400,25505.675,2022-01-13 10:00:00
25500,25399.138,2022-01-13 11:00:00
25500,25798.4,2022-01-13 12:00:00
25900,25862.038,2022-01-13 13:00:00
26050,25981.613,2022-01-13 14:00:00
25450,25504.45,2022-01-13 15:00:00
25500,25342.975,2022-01-13 16:00:00
25900,25749.875,2022-01-13 17:00:00
25900,25674.188,2022-01-13 18:00:00
25500,25203.713,2022-01-13 19:00:00
25450,25007.45,2022-01-13 20:00:00
24950,24344.288,2022-01-13 21:00:00
23700,22806.075,2022-01-13 22:00:00
21900,21317.125,2022-01-13 23:00:00
20650,20022.775,2022-01-13 00:00:00
19200,19024.475,2022-01-14 01:00:00
18500,18410.663,2022-01-14 02:00:00
18200,18028.45,2022-01-14 03:00:00
18200,17955.663,2022-01-14 04:00:00
18700,18261.963,2022-01-14 05:00:00
20200,19108.525,2022-01-14 06:00:00
23500,21797.625,2022-01-14 07:00:00
24350,23805.375,2022-01-14 08:00:00
25050,24719.888,2022-01-14 09:00:00
25100,25180.825,2022-01-14 10:00:00
25400,25134.25,2022-01-14 11:00:00
25400,25513.188,2022-01-14 12:00:00
25600,25604.863,2022-01-14 13:00:00
25750,25638.613,2022-01-14 14:00:00
25350,25065.188,2022-01-14 15:00:00
25400,24739.913,2022-01-14 16:00:00
25800,25219.8,2022-01-14 17:00:00
25800,25213.275,2022-01-14 18:00:00
25300,24848.713,2022-01-14 19:00:00
25250,24675.725,2022-01-14 20:00:00
24750,24093.813,2022-01-14 21:00:00
23500,22588.6,2022-01-14 22:00:00
21700,21186.188,2022-01-14 23:00:00
20450,19919.075,2022-01-14 00:00:00
18900,18910.45,2022-01-15 01:00:00
18150,18231.313,2022-01-15 02:00:00
17650,17853.888,2022-01-15 03:00:00
17550,17781.9,2022-01-15 04:00:00
17700,17762.363,2022-01-15 05:00:00
18100,18040.5,2022-01-15 06:00:00
19100,19142.975,2022-01-15 07:00:00
19800,19989.413,2022-01-15 08:00:00
20950,20751.475,2022-01-15 09:00:00
21700,21391.638,2022-01-15 10:00:00
22300,21710.975,2022-01-15 11:00:00
22400,21778.263,2022-01-15 12:00:00
22400,21716.125,2022-01-15 13:00:00
22500,21781.125,2022-01-15 14:00:00
21850,21572.45,2022-01-15 15:00:00
21900,21702.388,2022-01-15 16:00:00
22700,22465.513,2022-01-15 17:00:00
22700,22635.3,2022-01-15 18:00:00
22400,22492.575,2022-01-15 19:00:00
22150,22251.65,2022-01-15 20:00:00
21750,21645.488,2022-01-15 21:00:00
20750,20586.65,2022-01-15 22:00:00
19600,19553.788,2022-01-15 23:00:00
18500,18446.238,2022-01-15 00:00:00
17200,17305.563,2022-01-16 01:00:00
16500,16688.113,2022-01-16 02:00:00
16000,16256.613,2022-01-16 03:00:00
15850,16145.913,2022-01-16 04:00:00
16000,16129.825,2022-01-16 05:00:00
16150,16368.325,2022-01-16 06:00:00
16800,16821.538,2022-01-16 07:00:00
17150,17139.263,2022-01-16 08:00:00
18150,17722.225,2022-01-16 09:00:00
18850,18480.588,2022-01-16 10:00:00
19350,18856.9,2022-01-16 11:00:00
19450,19179.188,2022-01-16 12:00:00
19700,19484.9,2022-01-16 13:00:00
19750,19755.513,2022-01-16 14:00:00
19600,19652.413,2022-01-16 15:00:00
19700,19637.063,2022-01-16 16:00:00
21050,20181.913,2022-01-16 17:00:00
21100,20604.888,2022-01-16 18:00:00
21100,20589.013,2022-01-16 19:00:00
21100,20640.45,2022-01-16 20:00:00
20800,20106.538,2022-01-16 21:00:00
20050,19233.15,2022-01-16 22:00:00
19200,18586.375,2022-01-16 23:00:00
18250,17579.775,2022-01-16 00:00:00
17200,16767.363,2022-01-17 01:00:00
16700,16271.363,2022-01-17 02:00:00
16450,16080.675,2022-01-17 03:00:00
